_,Id,Name,RecordTypeId,hed__Description__c,hed__End_Date__c,hed__Is_Primary__c,hed__Start_Date__c,hed__Status__c,hed__Total_Required_Credits__c,Accreditation_End_Date__c,Accreditation_Start_Date__c,Blue_Card_Required__c,Certificate_Type__c,Code__c,Collaboration_with_External_Organisation__c,Completion_Requirements__c,Core_Conceptsv2__c,Courseloop_Full_URL__c,Courseloop_Initital_URL__c,Delivery_Type__c,Designated_Units__c,Early_Exit_Options__c,Evolve_with_QUTeXv2__c,External_Organisation_Details__c,Field_of_Education__c,Implementation_Year__c,IsComplete__c,Location_Details__c,Location__c,Mark_Design_Stage_as_Complete__c,Maximum_Participants__c,Minimum_Participants__c,More_Detailsv2__c,OPE_Design_Complete__c,Other_Completion_Requirements__c,Overviewv2__c,Owning_Faculty__c,PP_Design_Form_Status__c,PP_Is_curriculum_approved__c,Product_Request__c,Program_Delivery_Structure__c,Program_Type__c,Type__c,Volume_of_Learning_Hours__c,Who_Should_Participatev2__c,LogoUrl__c,Description__c
[hed__Program_Plan__c],a0KBn000008NmKHMA0,Enterprise Leadership Program Test7575 9dbbe1f,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-04,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,Design Form Received,FALSE,a0z9200000038FZAAY,Flexible Program,,,310,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUKS8FV2
[hed__Program_Plan__c],a0KBn000008NmSLMA0,Test Auto Parent Course T5555 - 8910565,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-04,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008NmTxMAK,Enterprise Leadership Program Test7575 39c21ed,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-04,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,Design Form Received,FALSE,a0z9200000038FZAAY,Flexible Program,,,310,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUKSZJW2
[hed__Program_Plan__c],a0KBn000008NmovMAC,Enterprise Leadership Program Test7575 146c403,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-04,Current,,,,FALSE,,EXCP0617,,,Core Concepts TPUPK,www.KUINLC_courseLoop.testnet,,,,,EvolveWith QUTex TPUMX,,,2025,FALSE,,,TRUE,,,More Details LUKTPUQYNF,TRUE,,Overview TPULK,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators TPUOA,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUKTPUSG
[hed__Program_Plan__c],a0KBn000008NnGLMA0,Enterprise Leadership Program Test7576 d7bd806,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-04,Current,,,,FALSE,Certificate of Achievement,EXCP0618,,,Core Concepts UGSHP,courseloop.try.ent,,,,,EvolveWith QUTex UGSHM,,,2025,FALSE,,,TRUE,14,2,More Details LUKUGSHRMW,TRUE,,Overview UGSHK,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators UGSHN,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUKUGSHT
[hed__Program_Plan__c],a0KBn000008NqVxMAK,Enterprise Leadership Program Test7575 829f8c4,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-04,Current,,,,FALSE,,EXCP0619,,,Core Concepts 21BFX,www.L2JWZR_courseLoop.testnet,,,,,EvolveWith QUTex 21BDD,,,2025,FALSE,,,TRUE,,,More Details LUL21BH5QD,TRUE,,Overview 21BC5,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators 21BEQ,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUL21BIE
[hed__Program_Plan__c],a0KBn000008NqnhMAC,Enterprise Leadership Program Test7576 2884a0c,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-04,Current,,,,FALSE,Certificate of Participation,,,,Core Concepts 35a59,,,Virtual Classroom,,,Evolve  ecdb0,,,,FALSE,,,FALSE,,,More Details ed8a3,FALSE,,Overview 341d2,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,22,Participants  6b52a,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description  c9b3a
[hed__Program_Plan__c],a0KBn0000084KbSMAU,CCE-PWOP-ParentFlexibleShilpa-050324,0128q0000004LGBAA2,,2024-08-05,FALSE,2024-03-05,Current,,,,FALSE,,EXCPWP0611,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn0000084KmjMAE,CCE-ParentPrescribed-Shilpa-SO,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-03-05,Current,,,,FALSE,,EXCP0615,,,,,,Virtual Classroom,,,,,,,FALSE,,,FALSE,,,,FALSE,,,0019h000001wVSgAAM,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn0000084L1FMAU,CCE-PWOP-ParentPrescribedShilpa-050324,0128q0000004LGBAA2,,2024-08-05,FALSE,2024-03-05,Current,,,,FALSE,,EXCPWP0610,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,CCE-PWOP-ParentPrescribedShilpa-050324
[hed__Program_Plan__c],a0KBn000008O22TMAS,Enterprise Leadership Program Test7575 cecd675,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-05,Current,,,,FALSE,,EXCP0620,,,Core Concepts ODYD9,www.LOXI3Y_courseLoop.testnet,,,,,EvolveWith QUTex ODYAK,,,2025,FALSE,,,TRUE,,,More Details LULODYEKMH,TRUE,,Overview ODY99,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators ODYBW,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LULODYFX
[hed__Program_Plan__c],a0KBn000008O2IbMAK,Enterprise Leadership Program Test7576 756011f,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-05,Current,,,,FALSE,Certificate of Achievement,EXCP0621,,,Core Concepts P1RH1,courseloop.try.ent,,,,,EvolveWith QUTex P1REE,,,2025,FALSE,,,TRUE,14,2,More Details LULP1RIDKR,TRUE,,Overview P1RD1,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators P1RFP,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LULP1RJP
[hed__Program_Plan__c],a0KBn000008OA9hMAG,Enterprise Leadership Program Test7575 10f6925,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-05,Current,,,,FALSE,,EXCP0622,,,Core Concepts 2AXMW,www.M3ANI5_courseLoop.testnet,,,,,EvolveWith QUTex 2AXK4,,,2025,FALSE,,,TRUE,,,More Details LUM2AXO6BX,TRUE,,Overview 2AXIU,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators 2AXLG,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUM2AXPK
[hed__Program_Plan__c],a0KBn000008ODM5MAO,Enterprise Leadership Program Test7575 1bb22a5,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-05,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,Design Form Received,FALSE,a0z9200000038FZAAY,Flexible Program,,,310,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUM82TMS
[hed__Program_Plan__c],a0KBn000008OT5uMAG,Enterprise Leadership Program Test7575 ebee2a2,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-06,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008OTFaMAO,Enterprise Leadership Program Test7576 ee7f534,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-06,Current,,,,FALSE,Certificate of Participation,,,,Core Concepts 30df7,,,Virtual Classroom,,,Evolve  7fae0,,,,FALSE,,,FALSE,,,More Details b88e5,FALSE,,Overview 8ff7d,,,FALSE,a0z9200000038FZAAY,Flexible Program,,,22,Participants  3c46d,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description  26ec4
[hed__Program_Plan__c],a0KBn000008OolRMAS,Enterprise Leadership Program Test7575 a297903,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-07,Current,,,,FALSE,,EXCP0623,,,Core Concepts KAF2P,www.OKSJ4N_courseLoop.testnet,,,,,EvolveWith QUTex KAF0A,,,2025,FALSE,,,TRUE,,,More Details LUOKAF3YWB,TRUE,,Overview KAEZ2,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators KAF1H,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUOKAF5A
[hed__Program_Plan__c],a0KBn000008Op3BMAS,Enterprise Leadership Program Test7576 488c095,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-07,Current,,,,FALSE,Certificate of Achievement,EXCP0624,,,Core Concepts KWBTE,courseloop.try.ent,,,,,EvolveWith QUTex KWBQQ,,,2025,FALSE,,,TRUE,14,2,More Details LUOKWBURPL,TRUE,,Overview KWBPE,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators KWBS2,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUOKWBW2
[hed__Program_Plan__c],a0KBn000008P9I2MAK,Enterprise Leadership Program Test7576 cb1f556,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-08,Current,,,,FALSE,Certificate of Achievement,EXCP0626,,,Core Concepts 0SOH6,courseloop.try.ent,,,,,EvolveWith QUTex 0SOEI,,,2025,FALSE,,,TRUE,14,2,More Details LUQ0SOIM1T,TRUE,,Overview 0SOD2,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators 0SOFU,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUQ0SOK1
[hed__Program_Plan__c],a0KBn000008PAM9MAO,Enterprise Leadership Program Test7575 7b6e860,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-08,Current,,,,FALSE,,EXCP0625,,,Core Concepts 05B21,www.Q0OA3D_courseLoop.testnet,,,,,EvolveWith QUTex 05AZC,,,2025,FALSE,,,TRUE,,,More Details LUQ05B3B9Y,TRUE,,Overview 05AY1,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators 05B0P,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUQ05B4L
[hed__Program_Plan__c],a0KBn000008PNzJMAW,Enterprise Leadership Program Test7576 501feac,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-08,Current,,,,FALSE,Certificate of Achievement,EXCP0627,,,Core Concepts MBF2N,courseloop.try.ent,,,,,EvolveWith QUTex MBF00,,,2025,FALSE,,,TRUE,14,2,More Details LUQMBF3YEQ,TRUE,,Overview MBEYR,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators MBF1D,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUQMBF57
[hed__Program_Plan__c],a0KBn000008PTYTMA4,Enterprise Leadership Program Test7575 967b81c,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-08,Current,,,,FALSE,,EXCP0628,,,Core Concepts WUXVU,www.QXEDQU_courseLoop.testnet,,,,,EvolveWith QUTex WUXT6,,,2025,FALSE,,,TRUE,,,More Details LUQWUXX5F6,TRUE,,Overview WUXRV,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators WUXUI,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUQWUXYH
[hed__Program_Plan__c],a0KBn000008PTobMAG,Enterprise Leadership Program Test7576 8fca513,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-08,Current,,,,FALSE,Certificate of Achievement,EXCP0629,,,Core Concepts XIH8W,courseloop.try.ent,,,,,EvolveWith QUTex XIH66,,,2025,FALSE,,,TRUE,14,2,More Details LUQXIHAED8,TRUE,,Overview XIH4R,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators XIH7J,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUQXIHBQ
[hed__Program_Plan__c],a0KBn000008PcIPMA0,Automation Testing Plan_139,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-09,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008Pcv7MAC,Enterprise Leadership Program Test7575 2817154,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-09,Current,,,,FALSE,,EXCP0630,,,Core Concepts EYN17,www.RFHWMM_courseLoop.testnet,,,,,EvolveWith QUTex EYMYJ,,,2025,FALSE,,,TRUE,,,More Details LUREYN2JT4,TRUE,,Overview EYMX8,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators EYMZV,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUREYN3Y
[hed__Program_Plan__c],a0KBn000008PdG5MAK,Enterprise Leadership Program Test7576 36e4a5f,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-09,Current,,,,FALSE,Certificate of Achievement,EXCP0631,,,Core Concepts FM9LT,courseloop.try.ent,,,,,EvolveWith QUTex FM9J4,,,2025,FALSE,,,TRUE,14,2,More Details LURFM9N836,TRUE,,Overview FM9HS,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators FM9KG,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LURFM9OK
[hed__Program_Plan__c],a0KBn000008PunCMAS,Enterprise Leadership Program Test7576 0317153,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-09,Current,,,,FALSE,Certificate of Achievement,EXCP0633,,,Core Concepts AS9J5,courseloop.try.ent,,,,,EvolveWith QUTex AS9G8,,,2025,FALSE,,,TRUE,14,2,More Details LUSAS9KF27,TRUE,,Overview AS9EW,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators AS9HK,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUSAS9LR
[hed__Program_Plan__c],a0KBn000008PuonMAC,Enterprise Leadership Program Test7575 66e9e72,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-09,Current,,,,FALSE,,EXCP0632,,,Core Concepts A14B3,www.SAO162_courseLoop.testnet,,,,,EvolveWith QUTex A148C,,,2025,FALSE,,,TRUE,,,More Details LUSA14CFJK,TRUE,,Overview A1470,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators A149T,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUSA14DQ
[hed__Program_Plan__c],a0KBn000008Q5p3MAC,Automation Testing Course_414,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-10,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,Design Form Received,FALSE,a0z9200000038FZAAY,Prescribed Program,,,300,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Automation Test Description
[hed__Program_Plan__c],a0KBn000008Q5ttMAC,Enterprise Leadership Program Test7575 1befcc9,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-10,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,Design Form Received,FALSE,a0z9200000038FZAAY,Flexible Program,,,310,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUSVA17E
[hed__Program_Plan__c],a0KBn000008Q6ErMAK,Enterprise Leadership Program Test7576 3e784dd,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-10,Current,,,,FALSE,Certificate of Achievement,EXCP0634,,,Core Concepts VVQCR,courseloop.try.ent,,,,,EvolveWith QUTex VVQA2,,,2025,FALSE,,,TRUE,14,2,More Details LUSVVQE2FD,TRUE,,Overview VVQ8M,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators VVQBE,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUSVVQFE
[hed__Program_Plan__c],a0KBn000008QYW5MAO,Enterprise Leadership Program Test7575 462df88,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-11,Current,,,,FALSE,,EXCP0635,,,Core Concepts 9UZ0U,www.UAB4WK_courseLoop.testnet,,,,,EvolveWith QUTex 9UYY6,,,2025,FALSE,,,TRUE,,,More Details LUU9UZ2685,TRUE,,Overview 9UYWU,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators 9UYZI,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUU9UZ3I
[hed__Program_Plan__c],a0KBn000008QYsfMAG,Enterprise Leadership Program Test7576 4ab1744,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-11,Current,,,,FALSE,Certificate of Achievement,EXCP0636,,,Core Concepts AFIZN,courseloop.try.ent,,,,,EvolveWith QUTex AFIWZ,,,2025,FALSE,,,TRUE,14,2,More Details LUUAFJ0Z49,TRUE,,Overview AFIVK,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators AFIYA,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUUAFJ2M
[hed__Program_Plan__c],a0KBn000008QZ2LMAW,Automation Testing Course_150,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-11,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,Design Form Received,FALSE,a0z9200000038FZAAY,Prescribed Program,,,300,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Automation Test Description
[hed__Program_Plan__c],a0KBn000008R7wrMAC,Automation Testing Plan_207,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-12,Current,,,,FALSE,,,No,,,,,Online,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,Design Form Received,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008RPXBMA4,Enterprise Leadership Program Test7575 f63c0d1,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-12,Current,,,,FALSE,,EXCP0637,,,Core Concepts JTPKZ,www.WKJTRW_courseLoop.testnet,,,,,EvolveWith QUTex JTPIC,,,2025,FALSE,,,TRUE,,,More Details LUWJTPMBYY,TRUE,,Overview JTPGG,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators JTPJQ,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUWJTPNO
[hed__Program_Plan__c],a0KBn000008RPvNMAW,Enterprise Leadership Program Test7576 70f73a5,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-12,Current,,,,FALSE,Certificate of Achievement,EXCP0638,,,Core Concepts KP2QK,courseloop.try.ent,,,,,EvolveWith QUTex KP2O3,,,2025,FALSE,,,TRUE,14,2,More Details LUWKP2RWZF,TRUE,,Overview KP2MV,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators KP2PB,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUWKP2T7
[hed__Program_Plan__c],a0KBn000008RhvVMAS,Enterprise Leadership Program Test7575 50db0b3,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-13,Current,,,,FALSE,,EXCP0639,,,Core Concepts ETC2D,www.XFNPH4_courseLoop.testnet,,,,,EvolveWith QUTex ETBZI,,,2025,FALSE,,,TRUE,,,More Details LUXETC3QUW,TRUE,,Overview ETBY6,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators ETC0U,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUXETC53
[hed__Program_Plan__c],a0KBn000008RiErMAK,Enterprise Leadership Program Test7576 1effb61,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-13,Current,,,,FALSE,Certificate of Achievement,EXCP0640,,,Core Concepts FVHYH,courseloop.try.ent,,,,,EvolveWith QUTex FVHVP,,,2025,FALSE,,,TRUE,14,2,More Details LUXFVHZPPK,TRUE,,Overview FVHUH,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators FVHX7,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUXFVI0X
[hed__Program_Plan__c],a0KBn000008S4qTMAS,Enterprise Leadership Program Test7575 16dcd45,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-14,Current,,,,FALSE,,EXCP0641,,,Core Concepts IILSL,www.YJD9WP_courseLoop.testnet,,,,,EvolveWith QUTex IILQ1,,,2025,FALSE,,,TRUE,,,More Details LUYIILTYT6,TRUE,,Overview IILOP,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,310,Students and Facilitators IILRA,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUYIILVA
[hed__Program_Plan__c],a0KBn000008S4wwMAC,Enterprise Leadership Program Test7576 daedb04,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-14,Current,,,,FALSE,Certificate of Achievement,EXCP0642,,,Core Concepts JHYUG,courseloop.try.ent,,,,,EvolveWith QUTex JHYS0,,,2025,FALSE,,,TRUE,14,2,More Details LUYJHYVOHY,TRUE,,Overview JHYQT,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators JHYT9,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LUYJHYWW
[hed__Program_Plan__c],a0KBn000008SVNeMAO,Automation Testing Course_263,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-15,Current,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,a0z9200000038FZAAY,Prescribed Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
[hed__Program_Plan__c],a0KBn000008SZ7vMAG,Enterprise Leadership Program Test7576 c9f4af7,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-15,Current,,,,FALSE,Certificate of Achievement,EXCP0644,,,Core Concepts 1XJTA,courseloop.try.ent,,,,,EvolveWith QUTex 1XJQU,,,2025,FALSE,,,TRUE,14,2,More Details LV01XJUI11,TRUE,,Overview 1XJPM,0019h000001wVSgAAM,Design Form Received,TRUE,a0z9200000038FZAAY,Flexible Program,Award Course,,25,Students and Facilitators 1XJS2,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,Description LV01XJVQ
[hed__Program_Plan__c],a0KBn000008SZxVMAW,Automation Testing Plan_958,0128q0000004Kp0AAE,,2024-08-05,FALSE,2024-04-15,Current,,,,FALSE,,,No,,,,,Online,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,Design Form Received,FALSE,a0z9200000038FZAAY,Flexible Program,,,,,https://qut360--uat.sandbox.my.salesforce.com/file-asset-public/QUT_Badge_Logo?oid=00DBn0000026cELMAY,a
