Action_Required__c,Administrative_Support__c,Checkout_Cart_Items_Count__c,Content_Challenged_Thinking__c,Delivery_Type__c,Develop_Topic_Insights__c,Effective_Learning_Activities__c,End_Date__c,Errors,Evaluation_Summary__c,Evaluation_Type__c,External_Id__c,External_Key__c,Facilitator_Knowledge__c,Facilities_Catering__c,Facility__c,hed_Capacity__c,hed_Program_Plan__c,IsActive__c,LMS_Quality__c,Migration_Id__c,Migration_Key__c,Minimum_Participants__c,Name,Overall_Experience__c,Peer_Engagement__c,Real_World_Learning_Opportunities__c,Registration_End_Date__c,Registration_Start_Date__c,Start_Date__c,Total_Number_of_Registered_Learners__c,Virtual_Platform_Quality__c,Visible_on_Website__c
,,0,,Brisbane Classroom,,,2024-09-20,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,30,EXOP0786-20240720-1,,,,2024-11-20,2024-05-19,2024-07-20,1,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-20,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0789-20240720-1,2,2,2,2024-11-20,2024-05-19,2024-07-20,1,,false
,,,,Online Classroom,,,2024-12-20,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0796-20240720-1,,,,2024-07-20,2024-06-20,2024-07-20,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-20,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0795-20240720-1,2,2,2,2024-11-20,2024-05-19,2024-07-20,1,,false
,,,,Online Classroom,,,2024-12-21,Required fields are missing: [hed_Program_Plan__c],,,,,,,,50,,true,,,,15,EXOP0801-20240721-1,,,,2024-07-21,2024-06-21,2024-07-21,,,false
<p>Auto Test Action Required</p>,2,0,2,Brisbane Classroom,2,2,2024-09-21,Required fields are missing: [hed_Program_Plan__c],<p>Auto Test Eval Summary</p>,Face-to-Face,,,2,2,,50,,true,,,,30,EXOP0800-20240721-1,2,2,2,2024-11-21,2024-05-20,2024-07-21,1,,false
,,,,Online Classroom,,,2023-09-30,Required fields are missing: [hed_Program_Plan__c],,,,,,,,200,,true,,,,100,EXCP0611-2023092-1,,,,2023-09-06,2023-09-02,2023-09-02,,,false
,,0,,Brisbane Classroom,,,2023-09-30,Required fields are missing: [hed_Program_Plan__c],,,,,,,,100,,true,,,,50,EXCP0612-20230910-1,,,,2023-09-07,2023-09-02,2023-09-10,1,,false
,,,,Online Classroom,,,2024-02-06,Required fields are missing: [hed_Program_Plan__c],,,,,,,,5,,true,,,,1,null-2024025-1,,,,2024-02-06,2024-02-05,2024-02-05,,,false
,,,,Online Classroom,,,2024-02-06,Required fields are missing: [hed_Program_Plan__c],,,,,,,,3,,true,,,,1,null-2024025-1,,,,2024-02-06,2024-02-04,2024-02-04,,,false
,,,,Online Classroom,,,2024-02-06,Required fields are missing: [hed_Program_Plan__c],,,,,,,,2,,true,,,,1,null-2024024-1,,,,2024-02-06,2024-02-04,2024-02-04,,,false
,,,,Online Classroom,,,2024-02-06,Required fields are missing: [hed_Program_Plan__c],,,,,,,,2,,true,,,,1,null-2024024-1,,,,2024-02-06,2024-02-04,2024-02-04,,,false
